Date,Open,High,Low,Close,Volume
2024-05-20 17:57:00,4.92,4.925,4.92,4.92,1372
2024-05-20 17:58:00,4.92,4.925,4.92,4.92,1379
2024-05-20 17:59:00,4.92,4.925,4.92,4.92,5700
2024-05-20 18:00:00,4.92,4.925,4.92,4.92,4938
2024-05-20 18:01:00,4.9299,4.9299,4.92,4.92,8611
2024-05-20 18:02:00,4.92,4.925,4.92,4.925,1904
2024-05-20 18:03:00,4.92,4.925,4.915,4.92,32912
2024-05-20 18:04:00,4.92,4.93,4.92,4.92,2180
2024-05-20 18:05:00,4.9255,4.9271,4.925,4.925,2189
2024-05-20 18:06:00,4.92,4.925,4.92,4.925,1190
2024-05-20 18:07:00,4.92,4.93,4.92,4.93,594
2024-05-20 18:08:00,4.92,4.925,4.91,4.91,7085
2024-05-20 18:09:00,4.91,4.9199,4.91,4.9199,791
2024-05-20 18:11:00,4.915,4.915,4.9142,4.915,11629
2024-05-20 18:12:00,4.915,4.925,4.9133,4.925,33794
2024-05-20 18:13:00,4.925,4.925,4.921,4.925,3777
2024-05-20 18:14:00,4.925,4.925,4.925,4.925,1221
2024-05-20 18:15:00,4.929,4.929,4.92,4.925,1368
2024-05-20 18:16:00,4.925,4.9256,4.9201,4.925,4874
2024-05-20 18:17:00,4.925,4.93,4.9231,4.925,9101
2024-05-20 18:18:00,4.9271,4.93,4.92,4.92,2642
2024-05-20 18:19:00,4.925,4.9272,4.92,4.925,2529
2024-05-20 18:20:00,4.9275,4.93,4.925,4.93,1957
2024-05-20 18:21:00,4.925,4.93,4.925,4.93,718
2024-05-20 18:22:00,4.925,4.93,4.92,4.92,2463
2024-05-20 18:23:00,4.92,4.9255,4.92,4.925,6839
2024-05-20 18:24:00,4.92,4.9266,4.92,4.925,1759
2024-05-20 18:25:00,4.9238,4.9299,4.92,4.925,2259
2024-05-20 18:26:00,4.92,4.925,4.92,4.92,3690
2024-05-20 18:27:00,4.925,4.93,4.92,4.92,4705
2024-05-20 18:28:00,4.925,4.925,4.92,4.925,2012
2024-05-20 18:29:00,4.925,4.9297,4.92,4.925,5444
2024-05-20 18:30:00,4.92,4.93,4.92,4.93,3161
2024-05-20 18:31:00,4.925,4.925,4.92,4.925,2377
2024-05-20 18:32:00,4.925,4.9299,4.924,4.925,2258
2024-05-20 18:33:00,4.925,4.94,4.925,4.935,46527
2024-05-20 18:34:00,4.935,4.9359,4.93,4.935,4849
2024-05-20 18:35:00,4.935,4.94,4.93,4.935,1771
2024-05-20 18:36:00,4.935,4.939,4.935,4.935,2298
2024-05-20 18:37:00,4.935,4.94,4.935,4.94,645
2024-05-20 18:38:00,4.935,4.935,4.935,4.935,2293
2024-05-20 18:39:00,4.935,4.935,4.935,4.935,809
2024-05-20 18:40:00,4.94,4.94,4.935,4.935,1412
2024-05-20 18:41:00,4.935,4.9352,4.92,4.92,18282
2024-05-20 18:42:00,4.925,4.925,4.92,4.925,1440
2024-05-20 18:43:00,4.925,4.925,4.92,4.925,1113
2024-05-20 18:44:00,4.925,4.925,4.92,4.92,2371
2024-05-20 18:45:00,4.9255,4.927,4.92,4.925,7005
2024-05-20 18:46:00,4.92,4.9282,4.92,4.92,955
2024-05-20 18:47:00,4.9239,4.93,4.92,4.9275,37621
2024-05-20 18:48:00,4.92,4.9288,4.92,4.9288,2883
2024-05-20 18:49:00,4.9248,4.9299,4.92,4.925,3997
2024-05-20 18:50:00,4.92,4.9299,4.92,4.92,5876
2024-05-20 18:51:00,4.92,4.925,4.92,4.92,8288
2024-05-20 18:52:00,4.92,4.93,4.92,4.92,1911
2024-05-20 18:53:00,4.92,4.925,4.91,4.91,24352
2024-05-20 18:54:00,4.91,4.92,4.91,4.9188,1624
2024-05-20 18:55:00,4.9159,4.9189,4.91,4.915,4290
2024-05-20 18:56:00,4.91,4.915,4.91,4.915,8426
2024-05-20 18:57:00,4.9185,4.9185,4.91,4.915,3312
2024-05-20 18:58:00,4.915,4.915,4.91,4.915,7206
2024-05-20 18:59:00,4.9156,4.9188,4.91,4.915,3448
2024-05-20 19:00:00,4.9199,4.9199,4.91,4.91,9560
2024-05-20 19:01:00,4.9188,4.92,4.91,4.915,2656
2024-05-20 19:02:00,4.915,4.915,4.91,4.915,3249
2024-05-20 19:03:00,4.91,4.915,4.91,4.9112,7959
2024-05-20 19:04:00,4.915,4.9188,4.91,4.9188,3823
2024-05-20 19:05:00,4.915,4.92,4.91,4.915,30066
2024-05-20 19:06:00,4.915,4.92,4.9123,4.915,8171
2024-05-20 19:07:00,4.915,4.93,4.91,4.93,38695
2024-05-20 19:08:00,4.93,4.93,4.9247,4.925,1098
2024-05-20 19:09:00,4.9241,4.93,4.9241,4.93,620
2024-05-20 19:10:00,4.9246,4.93,4.92,4.92,3270
2024-05-20 19:11:00,4.925,4.93,4.92,4.92,19450
2024-05-20 19:12:00,4.926,4.9299,4.92,4.925,3640
2024-05-20 19:13:00,4.925,4.93,4.92,4.925,1562
2024-05-20 19:14:00,4.925,4.93,4.92,4.925,2267
2024-05-20 19:15:00,4.92,4.93,4.92,4.925,2663
2024-05-20 19:16:00,4.925,4.93,4.92,4.9255,2684
2024-05-20 19:17:00,4.92,4.93,4.92,4.92,6136
2024-05-20 19:18:00,4.925,4.925,4.92,4.925,2133
2024-05-20 19:19:00,4.92,4.93,4.92,4.93,4006
2024-05-20 19:20:00,4.93,4.93,4.92,4.925,3683
2024-05-20 19:21:00,4.925,4.93,4.92,4.925,1677
2024-05-20 19:22:00,4.925,4.93,4.92,4.92,2060
2024-05-20 19:23:00,4.925,4.93,4.92,4.92,11688
2024-05-20 19:24:00,4.9288,4.9288,4.92,4.9276,3668
2024-05-20 19:25:00,4.925,4.9255,4.92,4.92,37440
2024-05-20 19:26:00,4.925,4.928,4.92,4.928,4484
2024-05-20 19:27:00,4.925,4.9273,4.92,4.925,7051
2024-05-20 19:28:00,4.925,4.9288,4.92,4.92,7605
2024-05-20 19:29:00,4.925,4.925,4.92,4.92,6047
2024-05-20 19:30:00,4.92,4.9299,4.92,4.92,8198
2024-05-20 19:31:00,4.925,4.9299,4.92,4.92,4128
2024-05-20 19:32:00,4.925,4.925,4.92,4.92,4713
2024-05-20 19:33:00,4.925,4.9299,4.92,4.925,7743
2024-05-20 19:34:00,4.925,4.93,4.92,4.925,9062
2024-05-20 19:35:00,4.925,4.93,4.92,4.925,6750
2024-05-20 19:36:00,4.92,4.925,4.92,4.92,6161
2024-05-20 19:37:00,4.925,4.925,4.92,4.92,3628
2024-05-20 19:38:00,4.925,4.93,4.92,4.92,14456
